geography_level_1,geography_level_2,geography_level_2_bg
sofia,Izgrev,Изгрев
sofia,Goce Delchev,Гоце Делчев
sofia,Borovo,Борово
sofia,Strelbishte,Стрелбище
sofia,Pancharevo - Chereshovi gradini,Панчарево - Черешови градини
sofia,Krasno selo,Красно село
sofia,Detski grad,Детски град
sofia,vilna zona Bunkera,вилна зона Бункера
sofia,vilna zona Malinova dolina,вилна зона Малинова долина
sofia,Simeonovo,Симеоново
sofia,Iztochen Park Mladost,Източен Парк Младост
sofia,Dyrvenica,Дървеница
sofia,Dianabad,Дианабад
sofia,Musagenica,Мусагеница
sofia,Dimityr Milenkov,Димитър Миленков
sofia,Poligona,Полигона
sofia,Pavlovo,Павлово
sofia,Iztok,Изток
sofia,Yavorov,Яворов
sofia,Ivan Vazov,Иван Вазов
sofia,Lagera,Лагера
sofia,Medical academy,Медицинска академия
sofia,Hipodruma,Хиподрума
sofia,Slatina,Слатина
sofia,Hristo Botev,Христо Ботев
sofia,Reduta,Редута
sofia,Bivshi kazarmi GUSV,Бивши казарми ГУСВ
sofia,Suhata reka,Сухата река
sofia,Fakulteta,Факултета
sofia,Suhodol,Суходол
sofia,Razsadnika,Разсадника
sofia,Ilinden,Илинден
sofia,Sveta Troica,Света Троица
sofia,Filipovci,Филиповци
sofia,Bakyrena fabrika,Бакърена фабрика
sofia,Severen park,Северен парк
sofia,Beli Brezi,Бели Брези
sofia,SPZ Slatina - south,СПЗ Слатина - юг
sofia,Benkovski,Бенковски
sofia,Kambanite,Камбаните
sofia,Poduyane,Подуяне
sofia,Orlandovci,Орландовци
sofia,Abdovica,Абдовица
sofia,Malashevci,Малашевци
sofia,PZ Vrybnica,ПЗ Връбница
sofia,Bykston,Бъкстон
sofia,Trebich,Требич
sofia,Drujba 1,Дружба 1
sofia,Drujba 2,Дружба 2
sofia,NPZ Iskyr,НПЗ Искър
sofia,Studentski grad,Студентски град
sofia,Zonite,Зоните
sofia,Lyvov most,Лъвов мост
sofia,Center - North,Център - Север
sofia,Center - East,Център - Изток
sofia,Center - South,Център - Юг
sofia,Center - West,Център - Запад
sofia,Lozenec,Лозенец
