---------
Легенда:
---------

GL1 - Geography Level 1
GL2 - Geography Level 2


-----------
Пояснение:
-----------

Отляво е текстът, който се визуализира на потребителя,
а отдясно - кодът на съответния град по класификацията 
на Appraiser



######################################################

София..............(GL1: sofia)
Пловдив............(GL1: plovdiv)
Варна..............(GL1: varna)
Бургас.............(GL1: burgas)
Русе...............(GL1: ruse)
Стара Загора.......(GL1: stara_zagora)
Велико Търново.....(GL1: veliko_tarnovo)
Благоевград........(GL1: blagoevgrad)
Хаджидимово........(GL1: southwestern; GL2: BLG52)
Якоруда............(GL1: southwestern; GL2: BLG53)
Сливница...........(GL1: southwestern; GL2: SFO45)
Самоков............(GL1: southwestern; GL2: SFO39)
Антон..............(GL1: southwestern; GL2: SFO54)
Горна Малина.......(GL1: southwestern; GL2: SFO10)
Брезник............(GL1: southwestern; GL2: PER08)
Бобов Дол..........(GL1: southwestern; GL2: KNL04)
Белица.............(GL1: southwestern; GL2: BLG02)
Кюстендил..........(GL1: southwestern; GL2: KNL29)
Бобошево...........(GL1: southwestern; GL2: KNL05)
Радомир............(GL1: southwestern; GL2: PER36)
Своге..............(GL1: southwestern; GL2: SFO43)
Дупница............(GL1: southwestern; GL2: KNL48)
Гърмен.............(GL1: southwestern; GL2: BLG13)
Гоце Делчев........(GL1: southwestern; GL2: BLG11)
Трън...............(GL1: southwestern; GL2: PER51)
Банско.............(GL1: southwestern; GL2: BLG01)
Разлог.............(GL1: southwestern; GL2: BLG37)
Кочериново.........(GL1: southwestern; GL2: KNL27)
Петрич.............(GL1: southwestern; GL2: BLG33)
Костинброд.........(GL1: southwestern; GL2: SFO26)
Сандански..........(GL1: southwestern; GL2: BLG40)
Мирково............(GL1: southwestern; GL2: SFO56)
Земен..............(GL1: southwestern; GL2: PER19)
Драгоман...........(GL1: southwestern; GL2: SFO16)
Елин Пелин.........(GL1: southwestern; GL2: SFO17)
Перник.............(GL1: southwestern; GL2: PER32)
Сатовча............(GL1: southwestern; GL2: BLG42)
Ихтиман............(GL1: southwestern; GL2: SFO20)
Ботевград..........(GL1: southwestern; GL2: SFO07)
Етрополе...........(GL1: southwestern; GL2: SFO18)
Годеч..............(GL1: southwestern; GL2: SFO09)
Симитли............(GL1: southwestern; GL2: BLG44)
Трекляно...........(GL1: southwestern; GL2: KNL50)
Кресна.............(GL1: southwestern; GL2: BLG28)
Невестино..........(GL1: southwestern; GL2: KNL31)
Струмяни...........(GL1: southwestern; GL2: BLG49)
Правец.............(GL1: southwestern; GL2: SFO34)
Костенец...........(GL1: southwestern; GL2: SFO25)
Божурище...........(GL1: southwestern; GL2: SFO06)
Долна Баня.........(GL1: southwestern; GL2: SFO59)
Пирдоп.............(GL1: southwestern; GL2: SFO55)
Ковачевци..........(GL1: southwestern; GL2: PER22)
Златица............(GL1: southwestern; GL2: SFO47)
Копривщица.........(GL1: southwestern; GL2: SFO24)
Сапарева Баня......(GL1: southwestern; GL2: KNL41)
Рила...............(GL1: southwestern; GL2: KNL38)
Чавдар.............(GL1: southwestern; GL2: SFO57)
Челопеч............(GL1: southwestern; GL2: SFO58)
Ардино.............(GL1: southcentral; GL2: KRZ02)
Крумовград.........(GL1: southcentral; GL2: KRZ15)
Кирково............(GL1: southcentral; GL2: KRZ14)
Белово.............(GL1: southcentral; GL2: PAZ04)
Златоград..........(GL1: southcentral; GL2: SML11)
Джебел.............(GL1: southcentral; GL2: KRZ08)
Пазарджик..........(GL1: southcentral; GL2: PAZ19)
Хасково............(GL1: southcentral; GL2: HKV34)
Минерални Бани.....(GL1: southcentral; GL2: HKV19)
Сопот..............(GL1: southcentral; GL2: PDV43)
Смолян.............(GL1: southcentral; GL2: SML31)
Асеновград.........(GL1: southcentral; GL2: PDV01)
Момчилград.........(GL1: southcentral; GL2: KRZ21)
Садово.............(GL1: southcentral; GL2: PDV28)
Баните.............(GL1: southcentral; GL2: SML02)
Велинград..........(GL1: southcentral; GL2: PAZ08)
Брезово............(GL1: southcentral; GL2: PDV07)
Кърджали...........(GL1: southcentral; GL2: KRZ16)
Черноочене.........(GL1: southcentral; GL2: KRZ35)
Панагюрище.........(GL1: southcentral; GL2: PAZ20)
Карлово............(GL1: southcentral; GL2: PDV13)
Доспат.............(GL1: southcentral; GL2: SML10)
Батак..............(GL1: southcentral; GL2: PAZ03)
Калояново..........(GL1: southcentral; GL2: PDV12)
Девин..............(GL1: southcentral; GL2: SML09)
Ивайловград........(GL1: southcentral; GL2: HKV11)
Лъки...............(GL1: southcentral; GL2: PDV15)
Любимец............(GL1: southcentral; GL2: HKV17)
Хисаря.............(GL1: southcentral; GL2: PDV37)
Раковски...........(GL1: southcentral; GL2: PDV25)
Харманли...........(GL1: southcentral; GL2: HKV33)
Стрелча............(GL1: southcentral; GL2: PAZ32)
Чепеларе...........(GL1: southcentral; GL2: SML38)
Димитровград.......(GL1: southcentral; GL2: HKV09)
Лесичово...........(GL1: southcentral; GL2: PAZ14)
Борино.............(GL1: southcentral; GL2: SML05)
Мадан..............(GL1: southcentral; GL2: SML16)
Маджарово..........(GL1: southcentral; GL2: HKV18)
Септември..........(GL1: southcentral; GL2: PAZ29)
Брацигово..........(GL1: southcentral; GL2: PAZ06)
Първомай...........(GL1: southcentral; GL2: PDV23)
Тополовград........(GL1: southcentral; GL2: HKV32)
Стамболово.........(GL1: southcentral; GL2: HKV30)
Неделино...........(GL1: southcentral; GL2: SML18)
Свиленград.........(GL1: southcentral; GL2: HKV28)
Рудозем............(GL1: southcentral; GL2: SML27)
Съединение.........(GL1: southcentral; GL2: PDV33)
Куклен.............(GL1: southcentral; GL2: PDV42)
Ракитово...........(GL1: southcentral; GL2: PAZ24)
Симеоновград.......(GL1: southcentral; GL2: HKV29)
Стамболийски.......(GL1: southcentral; GL2: PDV41)
Пещера.............(GL1: southcentral; GL2: PAZ21)
Кричим.............(GL1: southcentral; GL2: PDV39)
Сърница............(GL1: southcentral; GL2: PAZ39)
Перущица...........(GL1: southcentral; GL2: PDV40)
Крушари............(GL1: northeastern; GL2: DOB20)
Аврен..............(GL1: northeastern; GL2: VAR01)
Аксаково...........(GL1: northeastern; GL2: VAR02)
Търговище..........(GL1: northeastern; GL2: TGV35)
Смядово............(GL1: northeastern; GL2: SHU25)
Генерал Тошево.....(GL1: northeastern; GL2: DOB12)
Тервел.............(GL1: northeastern; GL2: DOB27)
Антоново...........(GL1: northeastern; GL2: TGV02)
Попово.............(GL1: northeastern; GL2: TGV24)
Дългопол...........(GL1: northeastern; GL2: VAR16)
Добрич.............(GL1: northeastern; GL2: DOB28)
Хитрино............(GL1: northeastern; GL2: SHU11)
